adlist_id,user_fingerprint,,user_id_encode,item_id_encode
47996575,32593e71-f453-40bb-89eb-943b0bcd5dee,,12,105
48005936,425a2c49-db51-4375-ba74-6efa17754955,,19,106
48037796,11bd997d-3fbc-4171-9620-851df209e347,,6,107
48046646,e89cff03-6753-4cf5-8a1f-3dbcbee4c791,,73,108
48096298,cbce8bc3-e358-4a20-873b-dd60b1df6aa5,,61,109
48222236,a189cd10-865d-4940-9315-fae870dea434,,53,110
48278143,7a1a9772-f52f-4eb4-983e-7febf40f026d,,42,111
48327613,04fec418-63c0-463c-95b0-f96087efb92d,,3,112
48353718,47cefa43-4d9c-4480-a949-e3179e570de6,,23,113
48432127,c5c362dd-0301-4a32-8662-e47b5aacb212,,60,114
48432127,cfa9f21d-51da-49bc-9f84-168defd1e98f,,64,114
48446378,f5525c44-0da0-4fd1-b84c-0b2aa0d42327,,75,115
48460466,cfa9f21d-51da-49bc-9f84-168defd1e98f,,64,116
48492869,044f265e-6406-451b-91e0-747012242979,,2,117
48522890,32593e71-f453-40bb-89eb-943b0bcd5dee,,12,118
48522890,4d588d34-b005-4e72-8144-c9f9b8fd842f,,26,118
48559587,fabcea94-7518-44a2-b5d4-a8c3b8012aa6,,77,119
48582773,992307de-2250-40c5-8ed2-ab86094b8d4e,,49,120
48620222,e5031a9e-f56a-4bc4-9d0b-0f7fb49de209,,71,121
48637096,576c60f8-adf7-4f32-9af7-a122319fc6f4,,28,122
48639459,bc2eadf7-2b57-4305-b2ec-202abbf9a475,,58,123
48712136,cbce8bc3-e358-4a20-873b-dd60b1df6aa5,,61,124
48746521,cbce8bc3-e358-4a20-873b-dd60b1df6aa5,,61,125
48817119,32593e71-f453-40bb-89eb-943b0bcd5dee,,12,126
48855921,cbce8bc3-e358-4a20-873b-dd60b1df6aa5,,61,127
48899280,6c31c761-4ca4-462a-9548-808c1c63ff87,,35,128
48914027,926da28c-000f-4676-a2ac-a24c348c0827,,48,129
48984159,576c60f8-adf7-4f32-9af7-a122319fc6f4,,28,130
49070036,926da28c-000f-4676-a2ac-a24c348c0827,,48,131
49105281,4d588d34-b005-4e72-8144-c9f9b8fd842f,,26,132
49183212,4d588d34-b005-4e72-8144-c9f9b8fd842f,,26,133
49195241,65744df7-1a41-4b87-9d76-a33ffa23824b,,31,134
49213778,425a2c49-db51-4375-ba74-6efa17754955,,19,135
49228070,425a2c49-db51-4375-ba74-6efa17754955,,19,136
49341928,bc2eadf7-2b57-4305-b2ec-202abbf9a475,,58,137
49401064,0183a9e2-17e0-4af4-8d1a-17e0b2d2b162,,0,138
49562290,3618f309-2641-4646-ae4f-c3a7443df631,,15,139
49590842,926da28c-000f-4676-a2ac-a24c348c0827,,48,140
49600690,926da28c-000f-4676-a2ac-a24c348c0827,,48,141
49674569,32593e71-f453-40bb-89eb-943b0bcd5dee,,12,142
49674569,4d588d34-b005-4e72-8144-c9f9b8fd842f,,26,142
49689134,cbce8bc3-e358-4a20-873b-dd60b1df6aa5,,61,143
49700885,c5c362dd-0301-4a32-8662-e47b5aacb212,,60,144
49806124,9a2c2d90-b3cc-42c8-834b-656e9c1de8e5,,50,145
49806124,e15c2780-b03a-463e-aba9-76be81a3b62e,,70,145
49841838,32593e71-f453-40bb-89eb-943b0bcd5dee,,12,146
49869149,66b03ed0-809f-4fc4-8cd7-d7e3bf332e0b,,32,147
49977416,32593e71-f453-40bb-89eb-943b0bcd5dee,,12,148
49993841,425a2c49-db51-4375-ba74-6efa17754955,,19,149
50072425,6c31c761-4ca4-462a-9548-808c1c63ff87,,35,150
50113668,68db2965-67c1-431d-bf5f-1a9c673f6394,,33,151
50157528,9a2c2d90-b3cc-42c8-834b-656e9c1de8e5,,50,152
50157528,e15c2780-b03a-463e-aba9-76be81a3b62e,,70,152
50190338,0b19710c-1b27-4e61-854a-ddba9e032f6a,,5,153
50190338,d1ae103e-5236-4ba6-9edf-871462b0e870,,66,153
50276790,11bd997d-3fbc-4171-9620-851df209e347,,6,154
50294742,cdeb235b-d1e3-425c-889c-62f1447ce97c,,63,155
50335743,32593e71-f453-40bb-89eb-943b0bcd5dee,,12,156
50335743,cfa9f21d-51da-49bc-9f84-168defd1e98f,,64,156
50345511,f5525c44-0da0-4fd1-b84c-0b2aa0d42327,,75,157
50346403,576c60f8-adf7-4f32-9af7-a122319fc6f4,,28,158
50369337,cbce8bc3-e358-4a20-873b-dd60b1df6aa5,,61,159
50382181,11bd997d-3fbc-4171-9620-851df209e347,,6,160
50388661,32593e71-f453-40bb-89eb-943b0bcd5dee,,12,161
50415870,11bd997d-3fbc-4171-9620-851df209e347,,6,162
50476696,e866d1be-a8b6-463c-a61b-125b2cd70f7d,,72,163
50562840,4d588d34-b005-4e72-8144-c9f9b8fd842f,,26,164
50614755,11bd997d-3fbc-4171-9620-851df209e347,,6,165
50614755,bc2eadf7-2b57-4305-b2ec-202abbf9a475,,58,165
50628646,926da28c-000f-4676-a2ac-a24c348c0827,,48,166
